"WeekOfYear","Flights","DelayType","Delay"
1,172799,"CarrierDelay",886564
2,135944,"CarrierDelay",395969
3,134983,"CarrierDelay",446415
4,135185,"CarrierDelay",539490
5,135047,"CarrierDelay",522739
6,135012,"CarrierDelay",530197
7,136905,"CarrierDelay",631081
8,139594,"CarrierDelay",635524
9,138710,"CarrierDelay",475316
10,139662,"CarrierDelay",666866
11,139817,"CarrierDelay",514748
12,139749,"CarrierDelay",611501
13,139871,"CarrierDelay",502142
14,139558,"CarrierDelay",616086
15,139381,"CarrierDelay",521555
16,139302,"CarrierDelay",346301
17,139282,"CarrierDelay",398528
18,138598,"CarrierDelay",408191
19,138011,"CarrierDelay",363598
20,137783,"CarrierDelay",398382
21,135003,"CarrierDelay",395428
22,137663,"CarrierDelay",376836
23,140646,"CarrierDelay",555083
24,142243,"CarrierDelay",609638
25,142600,"CarrierDelay",552489
26,142735,"CarrierDelay",619002
27,137215,"CarrierDelay",435057
28,141573,"CarrierDelay",600443
29,143292,"CarrierDelay",507894
30,143107,"CarrierDelay",611336
31,142801,"CarrierDelay",632172
32,142403,"CarrierDelay",566951
33,141875,"CarrierDelay",560685
34,137811,"CarrierDelay",383294
35,131051,"CarrierDelay",329207
36,127474,"CarrierDelay",270124
37,125674,"CarrierDelay",335384
38,125497,"CarrierDelay",283604
39,125411,"CarrierDelay",258916
40,124988,"CarrierDelay",239822
41,125235,"CarrierDelay",256598
42,125212,"CarrierDelay",261099
43,125236,"CarrierDelay",281742
44,124370,"CarrierDelay",245756
45,124509,"CarrierDelay",229289
46,124361,"CarrierDelay",289440
47,124889,"CarrierDelay",246380
48,117529,"CarrierDelay",287563
49,123373,"CarrierDelay",356886
50,122224,"CarrierDelay",342048
51,125757,"CarrierDelay",824269
52,120778,"CarrierDelay",892589
1,172799,"WeatherDelay",131989
2,135944,"WeatherDelay",56650
3,134983,"WeatherDelay",89154
4,135185,"WeatherDelay",107324
5,135047,"WeatherDelay",138407
6,135012,"WeatherDelay",110747
7,136905,"WeatherDelay",175656
8,139594,"WeatherDelay",129508
9,138710,"WeatherDelay",78909
10,139662,"WeatherDelay",179391
11,139817,"WeatherDelay",79729
12,139749,"WeatherDelay",118586
13,139871,"WeatherDelay",47607
14,139558,"WeatherDelay",152559
15,139381,"WeatherDelay",60127
16,139302,"WeatherDelay",27800
17,139282,"WeatherDelay",45904
18,138598,"WeatherDelay",64997
19,138011,"WeatherDelay",34672
20,137783,"WeatherDelay",43333
21,135003,"WeatherDelay",38915
22,137663,"WeatherDelay",82328
23,140646,"WeatherDelay",134451
24,142243,"WeatherDelay",129737
25,142600,"WeatherDelay",153497
26,142735,"WeatherDelay",140988
27,137215,"WeatherDelay",94979
28,141573,"WeatherDelay",199016
29,143292,"WeatherDelay",58220
30,143107,"WeatherDelay",138854
31,142801,"WeatherDelay",116458
32,142403,"WeatherDelay",134597
33,141875,"WeatherDelay",112442
34,137811,"WeatherDelay",43149
35,131051,"WeatherDelay",63715
36,127474,"WeatherDelay",17386
37,125674,"WeatherDelay",82365
38,125497,"WeatherDelay",19507
39,125411,"WeatherDelay",33818
40,124988,"WeatherDelay",14497
41,125235,"WeatherDelay",22151
42,125212,"WeatherDelay",19612
43,125236,"WeatherDelay",34861
44,124370,"WeatherDelay",21114
45,124509,"WeatherDelay",21487
46,124361,"WeatherDelay",48106
47,124889,"WeatherDelay",16122
48,117529,"WeatherDelay",50540
49,123373,"WeatherDelay",59306
50,122224,"WeatherDelay",79489
51,125757,"WeatherDelay",349201
52,120778,"WeatherDelay",229760
1,172799,"NASDelay",582258
2,135944,"NASDelay",418526
3,134983,"NASDelay",427388
4,135185,"NASDelay",688200
5,135047,"NASDelay",715669
6,135012,"NASDelay",569446
7,136905,"NASDelay",676453
8,139594,"NASDelay",613486
9,138710,"NASDelay",511300
10,139662,"NASDelay",711128
11,139817,"NASDelay",370526
12,139749,"NASDelay",648927
13,139871,"NASDelay",466872
14,139558,"NASDelay",794351
15,139381,"NASDelay",525331
16,139302,"NASDelay",266028
17,139282,"NASDelay",350655
18,138598,"NASDelay",532010
19,138011,"NASDelay",426111
20,137783,"NASDelay",429195
21,135003,"NASDelay",392993
22,137663,"NASDelay",500600
23,140646,"NASDelay",850344
24,142243,"NASDelay",771336
25,142600,"NASDelay",698308
26,142735,"NASDelay",808255
27,137215,"NASDelay",398421
28,141573,"NASDelay",871363
29,143292,"NASDelay",451049
30,143107,"NASDelay",711206
31,142801,"NASDelay",529481
32,142403,"NASDelay",662925
33,141875,"NASDelay",540410
34,137811,"NASDelay",332257
35,131051,"NASDelay",331497
36,127474,"NASDelay",190130
37,125674,"NASDelay",457143
38,125497,"NASDelay",155307
39,125411,"NASDelay",316356
40,124988,"NASDelay",179217
41,125235,"NASDelay",231431
42,125212,"NASDelay",231159
43,125236,"NASDelay",309737
44,124370,"NASDelay",272235
45,124509,"NASDelay",345638
46,124361,"NASDelay",505692
47,124889,"NASDelay",186273
48,117529,"NASDelay",427451
49,123373,"NASDelay",424220
50,122224,"NASDelay",570436
51,125757,"NASDelay",1039451
52,120778,"NASDelay",755320
1,172799,"SecurityDelay",8100
2,135944,"SecurityDelay",2030
3,134983,"SecurityDelay",1517
4,135185,"SecurityDelay",1863
5,135047,"SecurityDelay",1790
6,135012,"SecurityDelay",2423
7,136905,"SecurityDelay",2880
8,139594,"SecurityDelay",3682
9,138710,"SecurityDelay",2305
10,139662,"SecurityDelay",3032
11,139817,"SecurityDelay",4394
12,139749,"SecurityDelay",3387
13,139871,"SecurityDelay",2572
14,139558,"SecurityDelay",2261
15,139381,"SecurityDelay",2187
16,139302,"SecurityDelay",1562
17,139282,"SecurityDelay",1900
18,138598,"SecurityDelay",1529
19,138011,"SecurityDelay",1983
20,137783,"SecurityDelay",1420
21,135003,"SecurityDelay",1647
22,137663,"SecurityDelay",4283
23,140646,"SecurityDelay",2356
24,142243,"SecurityDelay",2387
25,142600,"SecurityDelay",2112
26,142735,"SecurityDelay",2754
27,137215,"SecurityDelay",2092
28,141573,"SecurityDelay",2120
29,143292,"SecurityDelay",1811
30,143107,"SecurityDelay",6699
31,142801,"SecurityDelay",1128
32,142403,"SecurityDelay",2087
33,141875,"SecurityDelay",2616
34,137811,"SecurityDelay",1258
35,131051,"SecurityDelay",968
36,127474,"SecurityDelay",858
37,125674,"SecurityDelay",1242
38,125497,"SecurityDelay",1181
39,125411,"SecurityDelay",1417
40,124988,"SecurityDelay",942
41,125235,"SecurityDelay",1447
42,125212,"SecurityDelay",1230
43,125236,"SecurityDelay",1054
44,124370,"SecurityDelay",1500
45,124509,"SecurityDelay",611
46,124361,"SecurityDelay",950
47,124889,"SecurityDelay",785
48,117529,"SecurityDelay",978
49,123373,"SecurityDelay",1912
50,122224,"SecurityDelay",1124
51,125757,"SecurityDelay",3343
52,120778,"SecurityDelay",4607
1,172799,"LateAircraftDelay",1113516
2,135944,"LateAircraftDelay",475206
3,134983,"LateAircraftDelay",493877
4,135185,"LateAircraftDelay",815742
5,135047,"LateAircraftDelay",870440
6,135012,"LateAircraftDelay",727458
7,136905,"LateAircraftDelay",907965
8,139594,"LateAircraftDelay",940806
9,138710,"LateAircraftDelay",643552
10,139662,"LateAircraftDelay",936951
11,139817,"LateAircraftDelay",612442
12,139749,"LateAircraftDelay",815143
13,139871,"LateAircraftDelay",628071
14,139558,"LateAircraftDelay",909665
15,139381,"LateAircraftDelay",627393
16,139302,"LateAircraftDelay",338029
17,139282,"LateAircraftDelay",413194
18,138598,"LateAircraftDelay",606839
19,138011,"LateAircraftDelay",453676
20,137783,"LateAircraftDelay",484667
21,135003,"LateAircraftDelay",473946
22,137663,"LateAircraftDelay",494496
23,140646,"LateAircraftDelay",810679
24,142243,"LateAircraftDelay",851762
25,142600,"LateAircraftDelay",868927
26,142735,"LateAircraftDelay",917249
27,137215,"LateAircraftDelay",476508
28,141573,"LateAircraftDelay",952412
29,143292,"LateAircraftDelay",522304
30,143107,"LateAircraftDelay",803401
31,142801,"LateAircraftDelay",676888
32,142403,"LateAircraftDelay",755958
33,141875,"LateAircraftDelay",685245
34,137811,"LateAircraftDelay",426665
35,131051,"LateAircraftDelay",326809
36,127474,"LateAircraftDelay",177219
37,125674,"LateAircraftDelay",396661
38,125497,"LateAircraftDelay",199722
39,125411,"LateAircraftDelay",250310
40,124988,"LateAircraftDelay",183040
41,125235,"LateAircraftDelay",252857
42,125212,"LateAircraftDelay",233189
43,125236,"LateAircraftDelay",338087
44,124370,"LateAircraftDelay",287150
45,124509,"LateAircraftDelay",288639
46,124361,"LateAircraftDelay",414046
47,124889,"LateAircraftDelay",234220
48,117529,"LateAircraftDelay",495135
49,123373,"LateAircraftDelay",581116
50,122224,"LateAircraftDelay",490090
51,125757,"LateAircraftDelay",1506167
52,120778,"LateAircraftDelay",1484713
