"Month","Flights","DelayType","Delay"
2008-01-01,605765,"SecurityDelay",12912
2008-02-01,569236,"SecurityDelay",11361
2008-03-01,616090,"SecurityDelay",15117
2008-04-01,598126,"SecurityDelay",7645
2008-05-01,606293,"SecurityDelay",9751
2008-06-01,608665,"SecurityDelay",10614
2008-07-01,627931,"SecurityDelay",13126
2008-08-01,612279,"SecurityDelay",7414
2008-09-01,540908,"SecurityDelay",4823
2008-10-01,556205,"SecurityDelay",5285
2008-11-01,523272,"SecurityDelay",4087
2008-12-01,544958,"SecurityDelay",12181
2008-01-01,605765,"WeatherDelay",429828
2008-02-01,569236,"WeatherDelay",544326
2008-03-01,616090,"WeatherDelay",474687
2008-04-01,598126,"WeatherDelay",268806
2008-05-01,606293,"WeatherDelay",240013
2008-06-01,608665,"WeatherDelay",571832
2008-07-01,627931,"WeatherDelay",555794
2008-08-01,612279,"WeatherDelay",398906
2008-09-01,540908,"WeatherDelay",157032
2008-10-01,556205,"WeatherDelay",105092
2008-11-01,523272,"WeatherDelay",139442
2008-12-01,544958,"WeatherDelay",747959
2008-01-01,605765,"NASDelay",2422180
2008-02-01,569236,"NASDelay",2572644
2008-03-01,616090,"NASDelay",2487133
2008-04-01,598126,"NASDelay",1964005
2008-05-01,606293,"NASDelay",1996671
2008-06-01,608665,"NASDelay",3226918
2008-07-01,627931,"NASDelay",2716037
2008-08-01,612279,"NASDelay",2068748
2008-09-01,540908,"NASDelay",1177489
2008-10-01,556205,"NASDelay",1102384
2008-11-01,523272,"NASDelay",1527896
2008-12-01,544958,"NASDelay",2909396
2008-01-01,605765,"LateAircraftDelay",3145788
2008-02-01,569236,"LateAircraftDelay",3495284
2008-03-01,616090,"LateAircraftDelay",3344243
2008-04-01,598126,"LateAircraftDelay",2277313
2008-05-01,606293,"LateAircraftDelay",2244264
2008-06-01,608665,"LateAircraftDelay",3580641
2008-07-01,627931,"LateAircraftDelay",3062892
2008-08-01,612279,"LateAircraftDelay",2490422
2008-09-01,540908,"LateAircraftDelay",1075911
2008-10-01,556205,"LateAircraftDelay",1149195
2008-11-01,523272,"LateAircraftDelay",1525169
2008-12-01,544958,"LateAircraftDelay",4279120
